Names	Models	Acehnese (ace)	Balinese (ban)	Toba Batak (bbc)	Banjarese (bjn)	Buginese (bug)	Madurese (mad)	Minangkabau (min)
0-shot Prompting	GPT-4-0125-turbo	60.8	71.2	47.8	79.8	30.8	58.2	80.2
0-shot Prompting	BLOOMZ-7.1B	47.0	50.5	43.0	49.5	38.5	48.0	52.5
								
Cross-lingual 0-Shot	mBERT	56.8 ± 3.2	60.2 ± 4.0	51.1 ± 2.1	63.3 ± 2.7	45.8 ± 4.4	56.0 ± 5.1	57.7 ± 9.5
Cross-lingual 0-Shot	XLMR-base	54.3 ± 6.5	55.4 ± 8.4	40.0 ± 5.7	66.1 ± 7.8	38.0 ± 9.7	50.0 ± 10.0	68.9 ± 5.3
Cross-lingual 0-Shot	XLMR-large	65.8 ± 3.1	71.4 ± 2.1	39.6 ± 2.6	78.4 ± 3.0	35.2 ± 3.1	61.5 ± 2.9	81.8 ± 0.6
								
Word Translation	mBERT	63.6 ± 6.6	58.3 ± 8.5	55.8 ± 3.2	66.4 ± 2.1	57.7 ± 2.4	59.3 ± 1.7	71.6 ± 2.2
\+ Existing Data	mBERT	67.8 ± 1.6	62.4 ± 3.0	60.4 ± 1.1	66.3 ± 3.4	56.7 ± 3.0	62.4 ± 1.8	75.1 ± 1.4
\+ Label Distillation	mBERT	58.8 ± 3.0	52.9 ± 2.9	45.7 ± 4.7	58.8 ± 2.4	43.9 ± 3.8	56.8 ± 2.1	68.7 ± 1.1
Word Translation	XLMR-base	69.0 ± 1.5	62.4 ± 2.5	65.5 ± 1.3	76.9 ± 2.8	59.8 ± 5.3	64.4 ± 11.5	70.7 ± 14.1
\+ Existing Data	XLMR-base	68.0 ± 1.7	72.7 ± 1.4	63.4 ± 2.6	80.5 ± 1.6	59.1 ± 5.2	73.8 ± 1.0	81.2 ± 1.1
\+ Label Distillation	XLMR-base	63.1 ± 3.8	66.4 ± 5.0	58.4 ± 2.6	73.0 ± 2.1	44.2 ± 5.8	67.8 ± 1.6	80.1 ± 2.1
Word Translation	XLMR-large	71.0 ± 1.8	60.8 ± 2.3	64.9 ± 7.6	74.4 ± 16.7	58.1 ± 3.7	69.1 ± 5.2	82.3 ± 2.1
\+ Existing Data	XLMR-large	73.1 ± 2.0	78.2 ± 1.7	67.2 ± 3.6	82.7 ± 2.6	58.1 ± 2.7	67.8 ± 1.6	80.1 ± 2.1
\+ Label Distillation	XLMR-large	65.4 ± 3.7	70.9 ± 2.6	70.9 ± 2.6	73.4 ± 7.5	45.6 ± 6.9	71.1 ± 2.8	77.8 ± 3.7
								
LexC-Gen-1K	mBERT	42.4 ± 8.2	47.1 ± 8.8	49.6 ± 6.1	53.9 ± 9.9	43.5 ± 6.5	42.3 ± 7.2	44.3 ± 3.3
\+ Existing Data	mBERT	65.3 ± 1.2	62.5 ± 1.6	59.2 ± 3.4	67.9 ± 2.8	50.9 ± 3.7	54.5 ± 3.1	67.0 ± 2.0
LexC-Gen-1K	XLMR-base	38.4 ± 0.2	38.0 ± 3.7	38.3 ± 0.1	38.9 ± 1.1	38.3 ± 0.2	38.2 ± 0.0	39.2 ± 1.3
\+ Existing Data	XLMR-base	70.1 ± 0.8	70.2 ± 2.5	56.5 ± 3.4	78.2 ± 2.0	43.3 ± 5.8	60.2 ± 12.0	73.0 ± 3.8
LexC-Gen-1K	XLMR-large	38.2 ± 0.0	38.5 ± 0.5	43.1 ± 5.0	40.4 ± 4.2	39.0 ± 1.5	38.2 ± 0.0	42.6 ± 3.3
\+ Existing Data	XLMR-large	71.5 ± 2.6	74.3 ± 2.5	59.5 ± 2.2	82.5 ± 2.1	54.5 ± 11.2	70.1 ± 2.8	79.9 ± 1.8
								
LexC-Gen-10K	mBERT	66.6 ± 3.2	67.1 ± 1.4	61.0 ± 1.5	72.3 ± 0.8	57.3 ± 3.0	61.2 ± 1.9	70.7 ± 0.9
\+ Existing Data	mBERT	68.2 ± 2.0	67.0 ± 2.0	62.8 ± 3.3	71.4 ± 2.6	58.5 ± 1.2	57.9 ± 2.9	70.3 ± 0.9
LexC-Gen-10K	XLMR-base	70.4 ± 2.7	70.0 ± 3.5	59.8 ± 4.9	78.2 ± 1.6	61.7 ± 2.5	67.8 ± 1.8	79.0 ± 2.8
\+ Existing Data	XLMR-base	70.6 ± 3.3	71.2 ± 2.3	61.9 ± 4.8	79.3 ± 1.7	62.7 ± 5.2	68.0 ± 3.2	79.3 ± 1.1
LexC-Gen-10K	XLMR-large	68.0 ± 6.7	69.9 ± 6.5	68.3 ± 3.2	81.8 ± 1.4	61.8 ± 2.2	67.3 ± 3.1	83.2 ± 1.5
\+ Existing Data	XLMR-large	68.3 ± 1.7	77.2 ± 1.1	63.9 ± 5.2	83.9 ± 1.2	60.3 ± 5.4	70.3 ± 2.8	85.3 ± 0.5
								
LexC-Gen-100K	mBERT	70.0 ± 0.8	71.5 ± 0.4	65.1 ± 2.3	73.4 ± 0.7	63.7 ± 1.7	69.9 ± 1.6	76.5 ± 0.8
\+ Existing Data	mBERT	70.7 ± 0.7	71.4 ± 1.5	67.8 ± 1.8	74.6 ± 0.6	65.8 ± 3.6	69.9 ± 1.4	76.9 ± 0.8
LexC-Gen-100K	XLMR-base	75.3 ± 2.6	77.7 ± 1.4	71.2 ± 2.0	81.7 ± 0.7	68.3 ± 2.2	73.3 ± 0.6	81.8 ± 1.3
\+ Existing Data	XLMR-base	75.6 ± 2.5	77.0 ± 1.3	73.0 ± 1.0	81.8 ± 1.7	66.1 ± 2.4	75.2 ± 1.2	81.5 ± 1.4
LexC-Gen-100K	XLMR-large	74.6 ± 3.3	78.8 ± 2.6	73.2 ± 2.0	83.5 ± 1.3	68.3 ± 4.0	75.1 ± 1.3	82.2 ± 0.7
\+ Existing Data	XLMR-large	75.9 ± 1.9	79.1 ± 1.8	72.3 ± 2.4	84.7 ± 1.1	67.1 ± 1.7	76.7 ± 2.3	84.2 ± 0.8
								
Gold Translations	mBERT	72.1 ± 4.6	71.6 ± 2.7	68.6 ± 4.8	72.8 ± 2.4	68.1 ± 8.8	66.7 ± 9.5	77.3 ± 0.5
Gold Translations	XLMR-base	73.9 ± 1.0	75.8 ± 1.1	64.2 ± 4.2	76.1 ± 11.5	68.2 ± 2.9	71.8 ± 3.6	78.8 ± 1.9
Gold Translations	XLMR-large	76.6 ± 5.6	75.6 ± 7.4	65.8 ± 8.4	84.4 ± 1.8	65.3 ± 3.8	77.0 ± 3.3	83.5 ± 1.9
